"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
1,"William TRUBRIDGE ",102,102,102,0,2016-07-14,"World Record Attempt - William Trubridge","New Zealand"
2,"William TRUBRIDGE ",102,102,102,0,2016-07-14,"World Record Attempt - William Trubridge","New Zealand"
3,"William TRUBRIDGE ",101,101,101,0,2010-12-11,"WR Attempt - TRUBRIDGE William (CNF)","New Zealand"
4,"William TRUBRIDGE ",100,100,100,0,2016-05-26,"Caribbean Cup 2016","New Zealand"
5,"William TRUBRIDGE ",100,100,100,0,2010-12-11,"WR Attempt - TRUBRIDGE William (CNF)","New Zealand"
6,"William TRUBRIDGE ",98,98,98,0,2015-06-06,"NIRVANA OCEANQUEST","New Zealand"
7,"William TRUBRIDGE ",97,97,97,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
8,"William TRUBRIDGE ",97,97,97,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
9,"William TRUBRIDGE ",97,97,97,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
10,"William TRUBRIDGE ",97,97,97,0,2014-05-25,"Caribbean Cup 2014","New Zealand"
11,"Alexey MOLCHANOV ",96,96,96,0,2014-05-25,"Caribbean Cup 2014","Russian Federation"
12,"William TRUBRIDGE ",96,96,96,0,2010-12-11,"WR Attempt - TRUBRIDGE William (CNF)","New Zealand"
13,"William TRUBRIDGE ",96,96,96,0,2015-05-23,"Caribbean Cup 2015","New Zealand"
14,"William TRUBRIDGE ",95,95,95,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
15,"William TRUBRIDGE ",94,94,94,0,2014-11-27,"Suunto Vertical Blue","New Zealand"
16,"William TRUBRIDGE ",94,94,94,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
17,"William TRUBRIDGE ",93,93,93,0,2011-09-15,"AIDA Individual Depth World Championship 2011","New Zealand"
18,"William TRUBRIDGE ",93,93,93,0,2013-11-09,"Vertical Blue 2013","New Zealand"
19,"William TRUBRIDGE ",93,93,93,0,2015-05-23,"Caribbean Cup 2015","New Zealand"
20,"Alexey MOLCHANOV ",92,92,92,0,2014-05-25,"Caribbean Cup 2014","Russian Federation"
21,"William TRUBRIDGE ",92,92,92,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
22,"William TRUBRIDGE ",92,92,92,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
23,"Alexey MOLCHANOV ",91,91,91,0,2013-11-09,"Vertical Blue 2013","Russian Federation"
24,"William TRUBRIDGE ",91,91,91,0,2011-04-17,"Vertical Blue 2011","New Zealand"
25,"Morgan BOURCHIS ",90,90,90,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","France"
26,"Alexey MOLCHANOV ",90,90,90,0,2013-04-25,"Russian National Open","Russian Federation"
27,"Alexey MOLCHANOV ",90,90,90,0,2014-05-15,"Russian National","Russian Federation"
28,"William TRUBRIDGE ",90,90,90,0,2009-12-03,"5th AIDA Individual World Championship 2009","New Zealand"
29,"William TRUBRIDGE ",90,90,90,0,2009-12-06,"WR Attempt - TRUBRIDGE William(CNF, FIM, VWT)","New Zealand"
30,"William TRUBRIDGE ",90,90,90,0,2014-05-25,"Caribbean Cup 2014","New Zealand"
31,"William TRUBRIDGE ",90,90,90,0,2016-04-22,"Vertical Blue 2016","New Zealand"
32,"Morgan BOURCHIS ",89,89,89,0,2013-09-09,"2013 Kalamata Open","France"
