"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
1,"Alexey MOLCHANOV ",128,128,127,1,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
2,"Alexey MOLCHANOV ",128,128,127,1,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
3,"Alexey MOLCHANOV ",128,128,127,1,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
4,"Alexey MOLCHANOV ",128,128,128,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Russian Federation"
5,"Alexey MOLCHANOV ",128,128,0,0,2013-09-09,"2013 Kalamata Open","Russian Federation"
6,"Guillaume NÉRY ",126,126,126,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","France"
7,"Alexey MOLCHANOV ",126,126,126,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
8,"Alexey MOLCHANOV ",126,126,126,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
9,"Alexey MOLCHANOV ",126,126,126,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
10,"Guillaume NÉRY ",125,125,125,0,2013-09-09,"2013 Kalamata Open","France"
11,"David MULLINS ",125,125,125,0,2013-09-09,"2013 Kalamata Open","New Zealand"
12,"Herbert NITSCH ",124,124,124,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Austria"
13,"Herbert NITSCH ",123,123,123,0,2009-12-06,"WR Attempt - NITSCH Herbert(CWT, FIM, VWT, CNF)","Austria"
14,"Guillaume NÉRY ",123,123,123,0,2012-11-20,"Suunto Vertical Blue 2012","France"
15,"Alexey MOLCHANOV ",123,123,123,0,2014-05-25,"Caribbean Cup 2014","Russian Federation"
16,"Alexey MOLCHANOV ",123,123,123,0,2014-11-27,"Suunto Vertical Blue","Russian Federation"
17,"Martin STEPANEK ",122,122,122,0,2009-05-23,"WR Attempt - STEPANEK Martin(CWT, FIM, CNF)","Czech Republic"
18,"Alexey MOLCHANOV ",122,123,120,2,2015-09-11,"2015 AIDA Depth World Championships","Russian Federation"
19,"Guillaume NÉRY ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","France"
20,"Alexey MOLCHANOV ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
21,"Alexey MOLCHANOV ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
22,"Alexey MOLCHANOV ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
23,"William TRUBRIDGE ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
24,"William TRUBRIDGE ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
25,"William TRUBRIDGE ",121,121,121,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
26,"Herbert NITSCH ",120,120,120,0,2009-04-03,"Vertical Blue 2009","Austria"
27,"Alexey MOLCHANOV ",120,120,120,0,2014-09-19,"AIDA Team World Championships 2014","Russian Federation"
28,"William TRUBRIDGE ",120,120,120,0,2012-05-03,"Deans Blue Hole Mini-comp","New Zealand"
29,"William TRUBRIDGE ",120,120,120,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","New Zealand"
30,"William TRUBRIDGE ",120,120,120,0,2013-11-09,"Vertical Blue 2013","New Zealand"
31,"William TRUBRIDGE ",120,120,120,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
32,"Guillaume NÉRY ",119,123,114,5,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","France"
33,"Guillaume NÉRY ",118,118,118,0,2012-11-20,"Suunto Vertical Blue 2012","France"
34,"David MULLINS ",118,118,117,1,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
35,"Guillaume NÉRY ",117,117,117,0,2011-09-15,"AIDA Individual Depth World Championship 2011","France"
36,"William TRUBRIDGE ",117,117,117,0,2014-11-27,"Suunto Vertical Blue","New Zealand"
37,"Carlos COSTE ",116,116,116,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Venezuela"
38,"William TRUBRIDGE ",116,116,116,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
39,"William TRUBRIDGE ",116,117,109,7,2011-04-17,"Vertical Blue 2011","New Zealand"
40,"William TRUBRIDGE ",116,120,111,5,2013-05-20,"Caribbean Cup 2013","New Zealand"
41,"William TRUBRIDGE ",116,116,116,0,2014-05-25,"Caribbean Cup 2014","New Zealand"
42,"William TRUBRIDGE ",116,116,116,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
43,"Ryuzo SHINOMIYA ",115,115,115,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
44,"Guillaume NÉRY ",115,115,115,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","France"
