"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
1,"William TRUBRIDGE ",124,124,124,0,2016-04-22,"Vertical Blue 2016","New Zealand"
2,"William TRUBRIDGE ",123,123,122,1,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
3,"William TRUBRIDGE ",123,123,122,1,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
4,"William TRUBRIDGE ",123,123,122,1,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
5,"Miguel LOZANO ",122,122,122,0,2016-05-26,"Caribbean Cup 2016","Spain"
6,"William TRUBRIDGE ",122,122,122,0,2016-04-22,"Vertical Blue 2016","New Zealand"
7,"Miguel LOZANO ",122,122,122,0,2016-05-26,"Caribbean Cup 2016","Spain"
8,"Miguel LOZANO ",122,122,122,0,2016-05-26,"Caribbean Cup 2016","Spain"
9,"William TRUBRIDGE ",121,121,121,0,2011-04-17,"Vertical Blue 2011","New Zealand"
10,"Herbert NITSCH ",120,120,120,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Austria"
11,"William TRUBRIDGE ",120,120,120,0,2014-11-27,"Suunto Vertical Blue","New Zealand"
12,"William TRUBRIDGE ",119,119,119,0,2016-04-22,"Vertical Blue 2016","New Zealand"
13,"Miguel LOZANO ",118,118,118,0,2016-05-26,"Caribbean Cup 2016","Spain"
14,"Miguel LOZANO ",118,118,118,0,2016-05-26,"Caribbean Cup 2016","Spain"
15,"Miguel LOZANO ",118,118,118,0,2016-05-26,"Caribbean Cup 2016","Spain"
16,"William TRUBRIDGE ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
17,"William TRUBRIDGE ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
18,"William TRUBRIDGE ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
19,"Miguel LOZANO ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
20,"Miguel LOZANO ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
21,"Miguel LOZANO ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
22,"William TRUBRIDGE ",116,116,116,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
23,"William TRUBRIDGE ",116,116,116,0,2016-04-22,"Vertical Blue 2016","New Zealand"
24,"William TRUBRIDGE ",115,115,115,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","New Zealand"
25,"William TRUBRIDGE ",115,115,115,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
