Ranking,Name,Result_min,Announced,Points,Penalties,Date,Place,Country
1,StÃ©phane MIFSUD ,11:35,0,139,0,8/06/2009,WR Attempt - MIFSUD Stephane(Static Apnea),France
2,Branko PETROVIC ,10:23,480,125,0,18/11/2011,Submania Cup 2011,Serbia
3,Tom SIETAS ,10:12,0,0,0,3/06/2008,WR Attempt - SIETAS Tom(STA),Germany
4,Aleix SEGURA VENDRELL ,10:07,435,121,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Spain
5,Aleix SEGURA VENDRELL ,9:32,435,112,2,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Spain
6,Aleix SEGURA VENDRELL ,9:23,425,111.6,1,27/06/2016,Pool World Championships 2016,Spain
7,Aleix SEGURA VENDRELL ,9:23,425,111.6,1,27/06/2016,Pool World Championships 2016,Spain
8,Branko PETROVIC ,9:21,480,112,0,11/11/2012,Hydro Dynamic - Austrian Championship 2012,Serbia
9,Goran COLAK ,9:19,1,112,0,12/10/2013,Sofia Freediving Cup 2013,Croatia
10,Tom SIETAS ,9:15,0,0,0,11/05/2008,WR Attempt - SIETAS Tom(STA),Germany
11,Goran COLAK ,9:14,510,110.8,0,27/06/2016,Pool World Championships 2016,Croatia
12,Martin Valenta ,9:14,1,111,0,2/12/2016,BarbÃ_rkowy Puchar Å_lÄ…ska we Freedivingu 2016 | The Silesia Freediving Pool Cup 2016,Czech Republic
13,Goran COLAK ,9:13,122,111,0,19/09/2014,AIDA Team World Championships 2014,Croatia
14,Martin Valenta ,9:05,1,109,0,26/11/2016,MiniComp Brno 2016,Czech Republic
15,Martin Valenta ,9:04,452,108.8,0,27/06/2016,Pool World Championships 2016,Czech Republic
16,Herbert NITSCH ,9:04,0,0,0,12/12/2006,WR Attempt - NITSCH Herbert(CWT-CNF-FIM-STA),Austria
17,Aleix SEGURA VENDRELL ,9:04,450,109,0,20/04/2014,AIDA NATIONAL COMP 2014,Spain
18,Guy BREW ,9:03,300,109,0,12/07/2009,"Wellington Winter Champs, Freediving Competition DAY 1",New Zealand
19,Natalia MOLCHANOVA ,9:02,410,108,0,21/06/2013,Individual AIDA pool World Championships,Russian Federation
20,Tom SIETAS ,9:00,0,0,0,26/08/2006,WR Attempt - SIETAS Tom(STA-DYN-DNF),Germany
21,Goran COLAK ,8:59,450,108,0,21/06/2013,Individual AIDA pool World Championships,Croatia
22,Tom SIETAS ,8:58,420,108,0,12/12/2004,3rd Dutch Apnea Open,Germany
23,Martin Valenta ,8:57,1,107.4,0,27/05/2016,The XIII Polish Feediving Pool Championships,Czech Republic
24,Tom SIETAS ,8:56,420,107,0,30/10/2004,Rhein Main Cup 2004,Germany
25,Vincent MATHIEU ,8:53,317,105.6,1,16/09/2016,Team World Championship,France
26,Tom SIETAS ,8:47,0,0,0,11/06/2004,WR Attempt - SIETAS Tom (STA),Germany
27,Guy BREW ,8:46,430,105,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,New Zealand
28,Giorgos PANAGIOTAKIS ,8:46,442,105,0,21/06/2013,Individual AIDA pool World Championships,Greece
29,Eugen GOETTLING ,8:46,441,105,0,21/06/2013,Individual AIDA pool World Championships,Austria
30,Goran COLAK ,8:44,1,105,0,23/02/2013,7th Serbian Open Freediving Championship - Belgrade 2013,Croatia
31,Ulf DEXTEGEN ,8:43,1,105,0,30/01/2009,Finnkampen II,Sweden
